id,topic_id,title,content
1,1,1.1 The Internet and the Web,"The Internet is an interconnected network of computer networks that spans the globe and has become part of everyday life. It began as a small network (ARPAnet) connecting research computers, designed to reroute data if parts were damaged. Over time, other networks joined, and by 1991 the Internet opened to commercial use. The World Wide Web was invented by Tim Berners-Lee in 1991 as a way for researchers to hyperlink documents. Early web pages were text-based and used HTML for formatting and HTTP for communication. In 1993, Mosaic became the first graphical web browser, paving the way for the Web's rapid growth. By the early 1990s, user-friendly operating systems, affordable Internet connections (through services like AOL and CompuServe), and the introduction of HTML, HTTP, and graphical browsers converged to make the Web accessible to the public. As usage grew, no single entity was in charge of the Internet; instead, groups like the Internet Engineering Task Force (IETF) and Internet Architecture Board (IAB) oversee technical standards. The Internet Corporation for Assigned Names and Numbers (ICANN) coordinates domain names and IP addresses, with help from the Internet Assigned Numbers Authority (IANA). Organizations can use private networks: an intranet (for internal use) or an extranet (to share information with partners securely)."
2,1,1.2 Web Standards and Accessibility,"No single person or group governs the World Wide Web, but the World Wide Web Consortium (W3C) plays a key role by developing recommendations for web standards, including web architecture, design standards, and accessibility. W3C Recommendations are guidelines (not rules) created with industry input, and while browsers sometimes diverge, there is a trend toward compliance. Following W3C standards helps ensure websites are accessible. The W3C’s Web Accessibility Initiative (WAI) develops guidelines to help those with disabilities access the Web (see the Web Content Accessibility Guidelines, WCAG). For example, WCAG 2.1 extends earlier guidelines to better support mobile and low-vision accessibility. In the United States, laws like the Americans with Disabilities Act (ADA) prohibit disability-based web access discrimination, and Section 508 requires federal websites to be accessible (recently updated to align with WCAG 2.0). Universal design is the practice of making products and environments usable by as many people as possible. For web developers, designing with universal design principles and accessibility in mind not only helps users with visual, auditory, physical, or neurological challenges, but often improves the user experience for all users (for example, providing text alternatives for images not only aids screen readers but also helps mobile users or search engines)."
3,1,1.3 Information on the Web,"With anyone able to publish on the Web, it’s critical to evaluate the reliability of online information. When researching online, ask: **Is the organization credible?** (Check if a site has its own domain name and consider the type of domain; .edu or .gov sites can be more objective than .com businesses or random free-hosted sites.) **How recent is the information?** (Check for last updated dates; outdated pages may not be reliable.) **Are there links to additional resources?** (Good information is often supported by references and external links.) **Is it Wikipedia?** (Wikipedia is a useful starting point, but since anyone can edit it, you should verify facts through the references listed and other sources.) 
**Ethical Use of Information:** Consider the ethics of using material from the Web. Is it okay to use someone else’s graphic or website design on your own site? Copy someone’s writing or insult someone online? The answer is **no** to all. Using someone’s content without permission is stealing (and possibly consuming their bandwidth if hot-linked). Always ask permission, give credit, or use resources licensed for sharing (such as those under Creative Commons). Content on websites is automatically copyrighted, even if not explicitly labeled. Defaming someone online could have legal consequences. Good web practice involves requesting permission for others’ work, citing sources, and exercising free speech responsibly. Creative Commons licenses allow creators to permit certain uses of their work under specified conditions. These licenses help others know how they can use or adapt content you created.
*Checkpoint 1.1:*
1. Describe the difference between the Internet and the Web.
2. Explain three events that contributed to the commercialization and growth of the Internet.
3. Is the concept of universal design important to web developers? Explain."
4,1,1.4 Network Overview,"A network consists of two or more computers connected for the purpose of communicating and sharing resources. Common components of a network include servers (computer(s) that provide resources), client workstation computers, shared devices such as printers, and networking devices (routers, hubs, switches) and the media that connect them. A **local area network (LAN)** is usually confined to a single building or group of connected buildings. (Your school’s computer lab is likely a LAN.) A **wide area network (WAN)** is geographically dispersed and usually uses some form of public or commercial communications network. For example, an organization with offices on both the East and West coasts of the United States probably uses a WAN to provide a link between the LANs at each of the offices."
5,1,1.5 The Client/Server Model,"The term **client/server** dates from the 1980s and refers to personal computers joined by a network. “Client/server” can also describe a relationship between two computer programs – the client and the server. The client requests some type of service (such as a file or database access) from the server. The server fulfills the request and transmits the results to the client over a network. While both the client and the server programs can reside on the same computer, typically they run on different computers (Figure 1.5). It is common for a server to handle requests from multiple clients.

**Web Client** – Connected to the Internet when needed; usually runs web browser software (e.g., Chrome or Edge); uses HTTP or HTTPS; requests web pages from a server; receives web pages and files from a server.
**Web Server** – Continually connected to the Internet; runs web server software (e.g., Apache or IIS); uses HTTP or HTTPS; receives requests for web pages; responds to requests and transmits the status code, web page, and associated files.

When clients and servers exchange files, they often need to indicate the type of file being transferred; this is done using **MIME types** (Multipurpose Internet Mail Extensions). MIME allows multimedia documents to be exchanged among different systems. It defines types for files like audio, video, image, application, etc., and also subtypes for more detail. For example, a web page has MIME type text/html, a GIF image is image/gif, JPEG is image/jpeg. When a web server sends a file, it includes the MIME type so the browser knows how to handle the file."
6,1,1.6 Internet Protocols,"Protocols are rules that describe how clients and servers communicate over a network. There is no single protocol that makes the Internet and Web work; many protocols with specific functions are needed in combination.

**File Transfer Protocol (FTP)** – A set of rules allowing files to be exchanged between computers on the Internet. Unlike HTTP (which is used for web page requests), FTP is used simply to move files from one computer to another. Web developers use FTP to transfer web files from their computers to web servers, and it’s also used for downloading files from servers to individual computers.
**E-mail Protocols** – Sending and receiving email uses separate protocols. **Simple Mail Transfer Protocol (SMTP)** is used to send email. When receiving email, **Post Office Protocol (POP3)** or **Internet Message Access Protocol (IMAP)** can be used.
**Hypertext Transfer Protocol (HTTP)** – A set of rules for exchanging files (text, images, multimedia, etc.) on the Web. Browsers and web servers use HTTP. When a user enters a URL or clicks a link, the browser sends an HTTP request to the server. The web server receives the request, processes it, and responds with the requested file(s).
**Hypertext Transfer Protocol Secure (HTTPS)** – HTTPS combines HTTP with a security protocol (such as SSL/TLS) to encrypt data between the browser and the web server. (See Chapter 12 for more about HTTPS.)
**Transmission Control Protocol/Internet Protocol (TCP/IP)** – The official communication protocol of the Internet. **TCP** ensures the integrity of communication. It breaks files/messages into packets (see Figure 1.6) containing destination, source, sequence, and checksum info. TCP verifies that packets arrive intact (using the checksum), requests resend of any damaged packets, and reassembles the message from packets. **IP** works with TCP to route each packet to the correct destination address. Each Internet-connected device has a unique numeric **IP address**. The original addressing scheme, **IPv4**, uses 32-bit addresses (like 216.58.194.46) which allows around 4 billion addresses. To accommodate more devices, **IPv6** uses 128-bit addresses, an astronomically larger number of unique addresses.

**Domain Name System (DNS)** – DNS associates domain names with IP addresses. When you type a URL (like example.com), DNS servers translate the domain name to the corresponding IP address. For instance, at the time of writing, Google’s domain (google.com) corresponded to an IP like 216.58.194.46. You could enter that IP directly to reach Google, but domain names are easier to remember. The DNS ensures that behind the scenes, the text-based name you enter is converted to the numeric IP so the network can route your request to the right server.

*FAQ – What is HTTP/2?* HTTP/2 is the first major update to HTTP (introduced in 1999). As websites include more images and media, the number of requests to load a page has increased. HTTP/2’s major benefit is faster page loads by allowing multiple concurrent requests over a single connection (multiplexing). It also compresses headers and can prioritize requests. (See the HTTP/2 documentation for more details.)"
7,1,1.7 Uniform Resource Identifiers and Domain Names,"A **Uniform Resource Identifier (URI)** identifies a resource on the Internet. A **Uniform Resource Locator (URL)** is a common type of URI that gives the address of a resource (like a page, image, or file) and how to retrieve it (the protocol). For example, in the URL `http://www.webdevfoundations.net/chapter1/index.html`, *http* is the protocol, *www.webdevfoundations.net* is the domain name (and server), and *chapter1/index.html* is the path to a specific file on that server.
**Domain Names** – A domain name locates an organization or entity on the Internet. It associates with an IP address behind the scenes. For instance, *google.com* is the domain name for Google. In a URL like **http://maps.google.com**, “maps” is a subdomain (pointing to the Google Maps service), “google” is the second-level domain, and “.com” is the top-level domain (TLD). Together, maps.google.com is a fully qualified domain name (FQDN).
**Top-Level Domains (TLDs)** – The rightmost part of a domain name (after the final dot) is the TLD. There are generic TLDs (gTLDs) like .com (commercial), .org (organizations), .edu (educational), .gov (government), etc., and country-code TLDs like .uk (United Kingdom), .ca (Canada), etc. ICANN administers the TLD system. In recent years, many new gTLDs have been introduced (e.g., .aero for the air-transport industry, .museum for museums, etc.), but .com, .org, .net remain the most common."
8,1,1.8 Markup Languages,"**Markup languages** consist of sets of directions (tags) that tell browser software (and other user agents) how to display and manage content on a web page. Tim Berners-Lee used **Standard Generalized Markup Language (SGML)** to define HTML in the early 1990s. SGML is not a language itself, but a standard for specifying markup languages via document type definitions (DTDs).
**Hypertext Markup Language (HTML)** – HTML uses markup tags (e.g., <p>, <h1>, <img>) in a text file intended for display in a web browser. The browser interprets the tags to render the page’s content and layout. The W3C maintains the HTML standard.
**Extensible Markup Language (XML)** – XML, developed by the W3C, is a flexible way to create common data formats and share data. It’s a text-based syntax for marking up structured information (like a data file or feed). XML doesn’t replace HTML but complements it by separating content from presentation (e.g., RSS feeds are in XML). Developers can create custom tags in XML to describe their data.
**Extensible Hypertext Markup Language (XHTML)** – XHTML reformulated HTML4 as an XML application (with stricter rules). Many websites were coded in XHTML for a time. The W3C started an XHTML2.0 project, but it was discontinued in favor of HTML5, since XHTML2 wasn’t backward-compatible with HTML4.
**HTML5** – HTML5 is the modern successor to HTML4/XHTML, combining features of both and adding new elements and APIs (like form enhancements, native video/audio, canvas, etc.) while remaining backward-compatible. HTML5 became a W3C Recommendation in 2014, and newer versions (HTML5.1, HTML5.2) have added even more features. Modern browsers largely support HTML5 and its updates.

*Checkpoint 1.2:*
1. Describe the components of the client/server model as applied to the Internet.
2. Identify two protocols used on the Internet that do not use the Web.
3. Explain the similarities and differences between a URL and a domain name."
9,1,1.9 Popular Uses of the Web,"The Web today is used for a variety of purposes, including:
- **E-Commerce:** Buying and selling goods/services online (online shopping). E-commerce has grown exponentially; studies show about 80% of American adults have made an online purchase. Sales in U.S. e-commerce are in the hundreds of billions annually. Importantly, e-commerce now happens across devices – not just on PCs but also on tablets, smartphones, or via voice assistants.
- **Mobile Access:** Accessing the Web via smartphones and tablets is extremely common. In fact, a significant percentage of people rely primarily on mobile devices for Internet access (some do not have desktop broadband at all). Web designers must use responsive design techniques so sites display and function well on small screens and touch interfaces as well as on larger monitors.
- **Blogs:** A blog is an online journal (web log) with posts (articles) displayed in chronological order. Blogs can be about any topic, from technology to personal diaries. They are easy to update using blog platforms (no advanced technical skill needed). Many companies use blogs for communication and customer engagement.
- **Wikis:** A wiki is a collaborative website that can be directly edited by authorized users (or in the case of Wikipedia, by virtually anyone). Wikis allow many contributors to add or refine content collectively. Wikipedia, for example, is a massive encyclopedia written and edited by volunteers worldwide. While information on wikis should be double-checked for accuracy (due to open editing), they are a powerful way to gather and share community knowledge.
- **Social Networking:** Social media sites (Facebook, Twitter, Instagram, LinkedIn, etc.) have become integral to personal and professional communication. As of 2019, about 70% of U.S. adults use at least one social media platform. These sites allow people to share updates, photos, and links, and enable businesses to engage with customers. Facebook has over 2 billion monthly users globally. Twitter, a microblogging service (tweets are short messages up to 280 characters), is used by individuals and organizations to broadcast updates and interact. LinkedIn focuses on professional networking, while Instagram and Pinterest are popular for visual content and ideas. Social networking is a key aspect of modern web use.
- **Cloud Computing:** Many web services provide software and storage “in the cloud” (on remote servers). Examples include Google Drive or Microsoft OneDrive for documents and files, web-based email, and software-as-a-service (SaaS) applications. Instead of installing software or storing data on a local computer, users use a browser to access tools and data stored on the Internet. Cloud computing enables collaboration (multiple people working on a document online) and access to your data from any device. Its usage is expanding in both consumer and enterprise contexts.
- **RSS Feeds:** **Really Simple Syndication (RSS)** allows users to subscribe to updates from websites. Websites (like blogs or news sites) publish an RSS feed (XML format) listing their latest content headlines or summaries. Users run a **newsreader** (or feed reader) application or plugin which aggregates all their subscribed feeds and shows new posts in one place. This “pull” mechanism is a way for web developers to disseminate content to interested users without relying on them visiting the site directly every time.
- **Podcasts:** Podcasts are audio (or video) programs distributed via the web, often in an episodic series. They are usually delivered through an RSS feed as well, so users can subscribe and automatically get new episodes. A podcast might be like a radio show or lecture series that users can listen to on-demand on their phone or computer. Thousands of podcasts exist on every imaginable topic, and they contribute to the rich diversity of Web content.

**Constant Change:** Web technologies and trends evolve rapidly. New standards, tools, and user behaviors emerge all the time. Staying current is part of a web developer’s life – for example, by reading articles, following blogs (like the textbook’s companion website blog for Web trends), and practicing new techniques. The web development field requires continuous learning, as “the next big thing” can rise to prominence quickly."
10,1,Chapter 1 Summary & Key Terms,"This chapter provided a brief overview of Internet, Web, and networking concepts. Some information may have been familiar already. Visit the textbook’s website for links to all URLs in this chapter and updated information.
Key Terms: accessible website; Americans with Disabilities Act (ADA); backbone; blog; client/server; clients; cloud computing; country-code top-level domain (ccTLD); Creative Commons; domain name; Domain Name System (DNS); e-commerce; extranet; File Transfer Protocol (FTP); fully qualified domain name (FQDN); generic top-level domain (gTLD); HTML5; Hypertext Markup Language (HTML); Hypertext Transfer Protocol (HTTP); Hypertext Transfer Protocol Secure (HTTPS); Internet; Internet Architecture Board (IAB); Internet Assigned Numbers Authority (IANA); Internet Corporation for Assigned Names and Numbers (ICANN); Internet Engineering Task Force (IETF); Internet Message Access Protocol (IMAP); intranet; IP; IP address; IP Version 4 (IPv4); IP Version 6 (IPv6); local area network (LAN); markup languages; microblogging; Multipurpose Internet Mail Extensions (MIME); network; newsreader; packets; podcasts; Post Office Protocol (POP3); protocols; Really Simple Syndication or Rich Site Summary (RSS); Request for Comments (RFC); Section 508 of the Federal Rehabilitation Act; server; Simple Mail Transfer Protocol (SMTP); social networking; Standard Generalized Markup Language (SGML); subdomain; TCP; Tim Berners-Lee; top-level domain (TLD); Transmission Control Protocol/Internet Protocol (TCP/IP); tweet; Uniform Resource Identifier (URI); Uniform Resource Locator (URL); universal design; Web Accessibility Initiative (WAI); Web Content Accessibility Guidelines (WCAG); web host server; wide area network (WAN); wiki; World Intellectual Property Organization (WIPO); World Wide Web; World Wide Web Consortium (W3C); XHTML; XML."
